date,ticker,company,sector,open,high,low,close,volume
2020-01-02,AAPL,Apple Inc.,Technology,71.34405442839761,72.39408555090253,71.0911838210517,72.33387756347656,135480400
2020-01-03,AAPL,Apple Inc.,Technology,71.56322072155912,72.38927264137095,71.40668140593664,71.63065338134766,146322800
2020-01-06,AAPL,Apple Inc.,Technology,70.75399108112933,72.23991947589693,70.50352389990641,72.20138549804688,118387200
2020-01-07,AAPL,Apple Inc.,Technology,72.21105649751387,72.46633779595872,71.6426965801033,71.86185455322266,108872000
2020-01-08,AAPL,Apple Inc.,Technology,71.56559876638666,73.31885447118653,71.56559876638666,73.01781463623047,132079200
2020-01-09,AAPL,Apple Inc.,Technology,73.9932251015063,74.7614798086532,73.74276510045252,74.56881713867188,170108400
2020-01-10,AAPL,Apple Inc.,Technology,74.80242558826012,75.30094962494485,74.236468881126,74.73739624023438,140644800
2020-01-13,AAPL,Apple Inc.,Technology,75.05287082554342,76.36058652225458,74.93485817482635,76.33409118652344,121532000
2020-01-14,AAPL,Apple Inc.,Technology,76.27147857331117,76.48100118582082,75.18051017572739,75.30332946777344,161954400
2020-01-15,AAPL,Apple Inc.,Technology,75.10345563091921,75.98249090201921,74.54953765831824,74.98062896728516,121923600
2020-01-16,AAPL,Apple Inc.,Technology,75.52250477498995,76.03066410855739,75.16125678084022,75.91987609863281,108829200
2020-01-17,AAPL,Apple Inc.,Technology,76.16790133072386,76.76275640961391,75.86204746774389,76.7603530883789,137816400
2020-01-21,AAPL,Apple Inc.,Technology,76.38949561952354,76.83021490503033,76.10290497799846,76.24018096923828,110843200
2020-01-22,AAPL,Apple Inc.,Technology,76.72424743670398,77.0638214037391,76.41839347401398,76.51232147216797,101832400
2020-01-23,AAPL,Apple Inc.,Technology,76.56529382668359,76.96025438766408,76.01860061750638,76.88078308105469,104472000
2020-01-24,AAPL,Apple Inc.,Technology,77.12644775977525,77.86820708363678,76.46897375596369,76.65923309326172,146537600
2020-01-27,AAPL,Apple Inc.,Technology,74.67234921705278,75.08416976822737,73.42484155700832,74.405029296875,161940000
2020-01-28,AAPL,Apple Inc.,Technology,75.28406920782065,76.68089158109271,75.18532722614749,76.50990295410156,162234000
2020-01-29,AAPL,Apple Inc.,Technology,78.13792264122904,78.95674973344263,77.39856685210137,78.1114273071289,216229200
2020-01-30,AAPL,Apple Inc.,Technology,77.19627805111793,78.05122856412287,76.76518678742532,77.99824523925781,126743200
2020-01-31,AAPL,Apple Inc.,Technology,77.29019066933044,77.71164655303768,74.24607885109228,74.5398941040039,199588400
2020-02-03,AAPL,Apple Inc.,Technology,73.28512861963044,75.49837389715371,72.7842016081601,74.33515930175781,173788400
2020-02-04,AAPL,Apple Inc.,Technology,75.93672133535755,76.97952779146334,75.53212542449515,76.78926849365234,136616400
2020-02-05,AAPL,Apple Inc.,Technology,77.91393700101683,78.21257356762338,76.81334075627086,77.41542053222656,118826800
2020-02-06,AAPL,Apple Inc.,Technology,77.68515330009288,78.32335641079244,77.12883215929374,78.3209457397461,105425600
2020-02-07,AAPL,Apple Inc.,Technology,77.82124622907054,78.06989154294402,76.76631409771366,77.25636291503906,117684000
2020-02-10,AAPL,Apple Inc.,Technology,75.8441484328751,77.623291015625,75.7644885208781,77.623291015625,109348800
2020-02-11,AAPL,Apple Inc.,Technology,78.11817322586252,78.19059132825674,76.93770658748598,77.15496826171875,94323200
2020-02-12,AAPL,Apple Inc.,Technology,77.60400616945556,78.99207670101356,77.60400616945556,78.98725128173828,113730400
2020-02-13,AAPL,Apple Inc.,Technology,78.26060628866534,78.7506551305069,78.05782821966719,78.42475891113281,94747600
2020-02-14,AAPL,Apple Inc.,Technology,78.39337649475979,78.6927218682662,77.93712767417983,78.44407653808594,80113600
2020-02-18,AAPL,Apple Inc.,Technology,76.12901616267288,77.18878123005356,75.94796350927948,77.00772857666016,152531200
2020-02-19,AAPL,Apple Inc.,Technology,77.24912913343354,78.35234502696264,77.24912913343354,78.12300872802734,93984000
2020-02-20,AAPL,Apple Inc.,Technology,77.8840228178166,78.37165530100644,76.81701596336808,77.32154846191406,100566000
2020-02-21,AAPL,Apple Inc.,Technology,76.9160079617277,77.35778064143899,74.95581205860155,75.5713882446289,129554000
2020-02-24,AAPL,Apple Inc.,Technology,71.75961758398634,73.43012593023869,69.82114748147725,71.98170471191406,222195200
2020-02-25,AAPL,Apple Inc.,Technology,72.6503953158895,73.03180965186876,69.07279323243056,69.54352569580078,230673600
2020-02-26,AAPL,Apple Inc.,Technology,69.16934036398257,71.90927139616765,69.16209855410392,70.646728515625,198054800
2020-02-27,AAPL,Apple Inc.,Technology,67.85851360418104,69.0413890764873,65.89348591735909,66.02867126464844,320605600
2020-02-28,AAPL,Apple Inc.,Technology,62.10347552395671,67.20915879544067,61.88862284247871,65.99006652832031,426510000
2020-03-02,AAPL,Apple Inc.,Technology,68.14338175177791,72.76867383608672,67.04258234775999,72.13378143310547,341397200
2020-03-03,AAPL,Apple Inc.,Technology,73.30701482551375,73.38667475068135,68.99312746023453,69.8428726196289,319475600
2020-03-04,AAPL,Apple Inc.,Technology,71.56165746891385,73.24182384454771,70.76261243598904,73.0824966430664,219178400
2020-03-05,AAPL,Apple Inc.,Technology,71.33958033890666,72.31243643111517,70.34741520260532,70.7119369506836,187572800
2020-03-06,AAPL,Apple Inc.,Technology,68.07578380592835,70.20496434412061,67.88990577178768,69.7728500366211,226176800
2020-03-09,AAPL,Apple Inc.,Technology,63.670171942415024,67.13189718407227,63.489119320777824,64.2543716430664,286744800
2020-03-10,AAPL,Apple Inc.,Technology,66.90257561810807,69.14762542571471,65.0268655374001,68.882080078125,285290000
2020-03-11,AAPL,Apple Inc.,Technology,66.96291749628936,67.88748961967876,65.627949126833,66.48976135253906,255598800
2020-03-12,AAPL,Apple Inc.,Technology,61.78482607622021,65.17895944928944,59.86808127193993,59.92360305786133,418474000
2020-03-13,AAPL,Apple Inc.,Technology,63.94537376560975,67.57366791219874,61.06301183278901,67.1029281616211,370732000
2020-03-16,AAPL,Apple Inc.,Technology,58.40758108532822,62.542820889319664,57.93684495675963,58.4703483581543,322423600
2020-03-17,AAPL,Apple Inc.,Technology,59.74977632698614,62.1879493594709,57.550590391518064,61.04128646850586,324056000
2020-03-18,AAPL,Apple Inc.,Technology,57.881318208922394,60.35087498179023,57.24159672400037,59.547000885009766,300233600
2020-03-19,AAPL,Apple Inc.,Technology,59.72081496454535,61.03646337436918,58.56690646649194,59.09075164794922,271857200
2020-03-20,AAPL,Apple Inc.,Technology,59.67012006159394,60.79264863512061,55.04000233501268,55.3393440246582,401693200
2020-03-23,AAPL,Apple Inc.,Technology,55.059304798459365,55.1606938155284,51.3247927605554,54.1636962890625,336752800
2020-03-24,AAPL,Apple Inc.,Technology,57.05813597182242,59.793238287645494,56.56084531140466,59.59770202636719,287531200
2020-03-25,AAPL,Apple Inc.,Technology,60.53192941719469,62.34245572079971,58.974877532799404,59.26939010620117,303602000
2020-03-26,AAPL,Apple Inc.,Technology,59.51079529315195,62.44625922344338,59.472169846872056,62.38832473754883,252087200
2020-03-27,AAPL,Apple Inc.,Technology,61.01472792774082,61.767905586340525,59.63872886548187,59.8052978515625,204216800
2020-03-30,AAPL,Apple Inc.,Technology,60.529513617295876,61.683422027854625,60.206030134757754,61.51202392578125,167976400
2020-03-31,AAPL,Apple Inc.,Technology,61.702731524008335,63.365997685508034,60.833677514674484,61.38648986816406,197002000
2020-04-01,AAPL,Apple Inc.,Technology,59.50596168562525,60.041877740721404,57.726819101176545,58.156517028808594,176218400
2020-04-02,AAPL,Apple Inc.,Technology,58.018915768998035,59.18006600388776,57.188487147319506,59.126956939697266,165934000
2020-04-03,AAPL,Apple Inc.,Technology,58.61278008138311,59.31284887197434,57.68820408379941,58.27722930908203,129880000
2020-04-06,AAPL,Apple Inc.,Technology,60.568135335844495,63.51566994282337,60.201204676104986,63.361175537109375,201820400
2020-04-07,AAPL,Apple Inc.,Technology,65.37206051111131,65.58932954032026,62.52350234713508,62.62730407714844,202887200
2020-04-08,AAPL,Apple Inc.,Technology,63.42634690897305,64.54404618126709,63.06183266990903,64.230224609375,168895200
2020-04-09,AAPL,Apple Inc.,Technology,64.86511208653789,65.19583364514321,63.899498254908295,64.69371032714844,161834800
2020-04-13,AAPL,Apple Inc.,Technology,64.77098217772529,66.07215077341053,64.17229875609489,65.96351623535156,131022800
2020-04-14,AAPL,Apple Inc.,Technology,67.59299914714502,69.58457858630197,67.12225924197793,69.29489135742188,194994800
2020-04-15,AAPL,Apple Inc.,Technology,68.17234288135833,69.1210568119712,67.74506136385055,68.66239166259766,131154400
