sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Consumer,2020,1,1,2020-01,64.8346,0.0568,0.8698,35.9945,-4.1178,2077688500,2,65.0455,65.0455
Consumer,2020,2,1,2020-02,69.2954,-0.3168,1.3614,59.9145,-13.2,2247444300,2,66.3337,66.3337
Consumer,2020,3,1,2020-03,64.2941,0.3115,3.2235,44.3052,-22.7447,4233046400,2,66.4482,66.3839
Consumer,2020,4,2,2020-04,74.9922,0.7598,3.8156,69.604,-12.1476,3113675400,2,67.601,66.9095
Consumer,2020,5,2,2020-05,78.9334,0.0431,2.2773,49.9532,-7.5974,2212057100,2,71.7383,69.3735
Consumer,2020,6,2,2020-06,83.8851,0.2054,1.3499,51.4475,-10.6341,2313922600,2,78.4714,71.5523
Consumer,2020,7,3,2020-07,96.1972,0.5166,1.8735,66.2564,-9.7612,3142396300,2,85.0743,74.6186
Consumer,2020,8,3,2020-08,101.6713,0.3968,1.9299,57.2369,-4.4754,2360357200,2,93.054,77.875
Consumer,2020,9,3,2020-09,100.4851,-0.1731,2.0612,48.2021,-16.3259,3123957600,2,99.7138,80.7957
Consumer,2020,10,4,2020-10,102.8013,-0.0829,2.0117,57.6052,-14.0254,2711507000,2,101.5859,83.2395
Consumer,2020,11,4,2020-11,101.4322,0.3643,1.8711,52.8188,-14.9222,2230010500,2,101.4252,86.8538
Consumer,2020,12,4,2020-12,102.6513,-0.0561,1.4248,46.2659,-12.1752,2062229500,2,102.0614,90.4214
Consumer,2021,1,1,2021-01,102.6087,-0.0985,1.1083,50.88,-12.097,1881066700,2,102.1368,94.2866
Consumer,2021,2,1,2021-02,103.3821,-0.2856,1.4747,45.6589,-14.6574,1997139400,2,103.0316,97.0674
Consumer,2021,3,1,2021-03,97.2354,0.1162,1.6556,44.26,-16.4097,2303404300,2,101.627,99.1374
Consumer,2021,4,2,2021-04,105.5255,0.3477,1.2593,68.0938,-10.5412,1996157700,2,100.6736,100.9519
Consumer,2021,5,2,2021-05,103.1565,-0.1274,1.1655,46.9822,-10.7466,2028011400,2,102.1018,101.933
Consumer,2021,6,2,2021-06,105.9327,0.1375,1.0786,54.4455,-10.4879,1847541000,2,104.293,102.2423
Consumer,2021,7,3,2021-07,112.4729,-0.0407,1.1226,62.0271,-10.8222,2070235300,2,106.5433,103.196
Consumer,2021,8,3,2021-08,105.9946,0.1954,1.2574,51.0305,-14.5698,1801163400,2,108.8405,103.8993
Consumer,2021,9,3,2021-09,108.3477,-0.2715,1.0118,44.2262,-11.9625,1704319600,2,108.8321,104.5693
Consumer,2021,10,4,2021-10,105.74,0.2361,1.0332,49.9336,-14.5154,1687464800,2,106.7498,104.9312
Consumer,2021,11,4,2021-11,110.9416,-0.0406,1.2532,54.0988,-11.2199,2050248600,2,107.5214,105.5255
